"num","vocab"
"1","diseas"
"2","mosquito"
"3","infect"
"4","th"
"5","journal"
"6","disea"
"7","anim"
"8","rna"
"9","human"
"10","africa"
"11","protein"
"12","vaccin"
"13","high"
"14","pr"
"15","antibodi"
"16","speci"
"17","cell"
"18","two"
"19","ted"
"20","health"
"21","also"
"22","sheep"
"23","studi"
"24","transmiss"
"25","use"
"26","nss"
"27","vector"
"28","may"
"29","ult"
"30","liv"
"31","tock"
"32","mice"
"33","arbo"
"34","potenti"
"35","control"
"36","found"
"37","outbreak"
"38","one"
"39","area"
"40","clinic"
"41","hemorrhag"
"42","sera"
"43","anti"
"44","infecti"
"45","cas"
"46","risk"
"47","tropic"
"48","among"
"49","posit"
"50","can"
"51","data"
"52","expr"
"53","host"
"54","cattl"
"55","specif"
"56","phlebo"
"57","african"
"58","virolog"
"59","pons"
"60","associ"
"61","sampl"
"62","medicin"
"63","sugg"
"64","three"
"65","born"
"66","collect"
"67","new"
"68","elisa"
"69","strain"
"70","base"
"71","detect"
"72","first"
"73","veterinari"
"74","epidem"
"75","import"
"76","earch"
"77","show"
"78","rat"
"79","assay"
"80","differ"
"81","time"
"82","inv"
"83","blood"
"84","cx"
"85","activ"
"86","a"
"87","day"
"88","de"
"89","segment"
"90","serum"
"91","sion"
"92","ent"
"93","well"
"94","howev"
"95","ifn"
"96","american"
"97","develop"
"98","emerg"
"99","igm"
"100","includ"
"101","patient"
"102","sever"
"103","bunyavirida"
"104","model"
"105","observ"
"106","surveil"
"107","pathogen"
"108","south"
"109","hygien"
"110","major"
"111","nile"
"112","region"
"113","signific"
"114","culex"
"115","larg"
"116","preval"
"117","igg"
"118","gene"
"119","mp"
"120","dengu"
"121","enceph"
"122","public"
"123","transmit"
"124","year"
"125","famili"
"126","medic"
"127","within"
"128","replic"
"129","rumin"
"130","ts"
"131","low"
"132","pectiv"
"133","spread"
"134","type"
"135","system"
"136","challeng"
"137","compar"
"138","isol"
"139","recombin"
"140","ae"
"141","factor"
"142","kenya"
"143","dom"
"144","pipien"
"145","report"
"146","analysi"
"147","immun"
"148","pcr"
"149","treatment"
"150","effect"
"151","occur"
"152","four"
"153","negat"
"154","role"
"155","sequenc"
"156","ting"
"157","earli"
"158","although"
"159","known"
"160","rate"
"161","sed"
"162","enc"
"163","identifi"
"164","singl"
"165","inocul"
"166","transcript"
"167","antigen"
"168","number"
"169","genom"
"170","increas"
"171","tic"
"172","wild"
"173","evid"
"174","east"
"175","laboratori"
"176","mani"
"177","yellow"
"178","condit"
"179","demonstr"
"180","liver"
"181","rainfal"
"182","endem"
"183","exposur"
"184","follow"
"185","small"
"186","congo"
"187","epizoot"
"188","mortal"
"189","popul"
"190","recent"
"191","zoonot"
"192","acut"
"193","diagnosi"
"194","gn"
"195","haemorrhag"
"196","caus"
"197","glycoprotein"
"198","interferon"
"199","egypt"
"200","level"
"201","case"
"202","countri"
"203","ml"
"204","distribut"
"205","illn"
"206","method"
"207","zh"
"208","attenu"
"209","non"
"210","plaqu"
"211","rt"
"212","similar"
"213","abil"
"214","will"
"215","ass"
"216","induc"
"217","intern"
"218","like"
"219","acid"
"220","conduct"
"221","goat"
"222","addit"
"223","dose"
"224","relat"
"225","determin"
"226","titer"
"227","total"
"228","adult"
"229","alpha"
"230","dna"
"231","obtain"
"232","saudi"
"233","beta"
"234","bunya"
"235","seneg"
"236","sensit"
"237","societi"
"238","either"
"239","diagnost"
"240","due"
"241","evalu"
"242","genus"
"243","product"
"244","thus"
"245","post"
"246","cellular"
"247","group"
"248","higher"
"249","mous"
"250","period"
"251","confirm"
"252","epidemiolog"
"253","primari"
"254","rapid"
"255","arthropod"
"256","chang"
"257","climat"
"258","crimean"
"259","elsevi"
"260","hamster"
"261","affect"
"262","egyptian"
"263","gc"
"264","la"
"265","madagascar"
"266","need"
"267","possibl"
"268","southern"
"269","suscept"
"270","field"
"271","five"
"272","repr"
"273","serolog"
"274","sinc"
"275","viremia"
"276","virul"
"277","various"
"278","world"
"279","avail"
"280","complex"
"281","ebola"
"282","molecular"
"283","neutral"
"284","rang"
"285","age"
"286","amino"
"287","cycl"
"288","death"
"289","depend"
"290","hepat"
"291","malaria"
"292","arabia"
"293","central"
"294","copyright"
"295","fatal"
"296","indic"
"297","inhibit"
"298","polymeras"
"299","contrast"
"300","et"
"301","pon"
"302","previous"
"303","cribe"
"304","deriv"
"305","discuss"
"306","influenza"
"307","revers"
"308","shown"
"309","febril"
"310","given"
"311","inter"
"312","link"
"313","carri"
"314","chikungunya"
"315","lamb"
"316","sing"
"317","surviv"
"318","wherea"
"319","greater"
"320","particl"
"321","protect"
"322","circul"
"323","live"
"324","pfu"
"325","synth"
"326","agent"
"327","approach"
"328","bovin"
"329","cent"
"330","consid"
"331","enzym"
"332","erv"
"333","examin"
"334","global"
"335","lassa"
"336","proc"
"337","right"
"338","gen"
"339","inform"
"340","monkey"
"341","reveal"
"342","sandfli"
"343","specimen"
"344","stat"
"345","sub"
"346","arabian"
"347","effici"
"348","morbid"
"349","structur"
"350","approxim"
"351","ew"
"352","experiment"
"353","find"
"354","ion"
"355","north"
"356","probabl"
"357","provid"
"358","ptv"
"359","throughout"
"360","bulletin"
"361","contact"
"362","current"
"363","degr"
"364","general"
"365","isolat"
"366","plos"
"367","pool"
"368","tigat"
"369","involv"
"370","local"
"371","peninsula"
"372","six"
"373","surfac"
"374","survey"
"375","temperatur"
"376","tern"
"377","america"
"378","environment"
"379","genet"
"380","lethal"
"381","mrna"
"382","particular"
"383","ribavirin"
"384","us"
"385","dos"
"386","femal"
"387","nation"
"388","produc"
"389","safe"
"390","saharan"
"391","sign"
"392","société"
"393","without"
"394","character"
"395","expos"
"396","form"
"397","limit"
"398","main"
"399","nucleocapsid"
"400","per"
"401","review"
"402","season"
"403","select"
"404","impact"
"405","inactiv"
"406","marburg"
"407","multipl"
"408","pregnant"
"409","tablish"
"410","therefor"
"411","threat"
"412","biolog"
"413","cross"
"414","equin"
"415","geograph"
"416","long"
"417","mediat"
"418","member"
"419","ponsibl"
"420","site"
"421","abort"
"422","common"
"423","dissemin"
"424","overal"
"425","requir"
"426","sit"
"427","unit"
"428","vexan"
"429","via"
"430","amplif"
"431","individu"
"432","least"
"433","nsm"
"434","reduct"
"435","target"
"436","techniqu"
"437","trade"
"438","contain"
"439","cultur"
"440","measur"
"441","microbiolog"
"442","natur"
"443","often"
"444","succ"
"445","syndrom"
"446","introduc"
"447","introduct"
"448","man"
"449","manif"
"450","mauritania"
"451","provinc"
"452","sudan"
"453","tissu"
"454","buffalo"
"455","econom"
"456","free"
"457","function"
"458","light"
"459","month"
"460","paper"
"461","perform"
"462","progr"
"463","revu"
"464","royal"
"465","strategi"
"466","transact"
"467","code"
"468","differenc"
"469","feed"
"470","insect"
"471","loss"
"472","lower"
"473","made"
"474","prevent"
"475","real"
"476","taken"
"477","understand"
"478","urban"
"479","cenc"
"480","district"
"481","efficaci"
"482","even"
"483","flavi"
"484","incid"
"485","japan"
"486","locat"
"487","order"
"488","vitro"
"489","whether"
"490","abl"
"491","captur"
"492","fusion"
"493","indirect"
"494","kda"
"495","necrosi"
"496","northern"
"497","reduc"
"498","symptom"
"499","termin"
"500","wildlif"
"501","work"
"502","administ"
"503","aegypti"
"504","calv"
"505","generat"
"506","immunosorb"
"507","late"
"508","mean"
"509","neglect"
"510","novel"
"511","patholog"
"512","record"
"513","seri"
"514","serious"
"515","suppr"
"516","vero"
"517","yemen"
"518","complet"
"519","die"
"520","end"
"521","part"
"522","pkr"
"523","poicilip"
"524","retin"
"525","rnas"
"526","rout"
"527","section"
"528","seen"
"529","seropreval"
"530","spatial"
"531","zon"
"532","characterist"
"533","clone"
"534","eastern"
"535","futur"
"536","none"
