Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Bunyaviral cap-snatching vs. decapping: Recycling cell cycle mRNAs.","/pubmed/24145225","Hopkins K, Cherry S.","Cell Cycle. 2013 Oct 21;12(24). [Epub ahead of print] No abstract available. ","Cell Cycle.  2013","PubMed","citation","PMID:24145225","pubmed","24145225","create date:2013/10/23 | first author:Hopkins K",
"Predicting distribution of Aedes aegypti and Culex pipiens complex, potential vectors of Rift Valley fever virus in relation to disease epidemics in East Africa.","/pubmed/24137533","Mweya CN, Kimera SI, Kija JB, Mboera LE.","Infect Ecol Epidemiol. 2013 Oct 14;3. doi: 10.3402/iee.v3i0.21748.","Infect Ecol Epidemiol.  2013","PubMed","citation","PMID:24137533 | PMCID:PMC3797365","pubmed","24137533","create date:2013/10/19 | first author:Mweya CN",
"Strategies of highly pathogenic RNA viruses to block dsRNA detection by RIG-I-like receptors: Hide, mask, hit.","/pubmed/24129118","Zinzula L, Tramontano E.","Antiviral Res. 2013 Oct 12. doi:pii: S0166-3542(13)00292-1.  10.1016/j.antiviral.2013.10.002. [Epub ahead of print]","Antiviral Res.  2013","PubMed","citation","PMID:24129118","pubmed","24129118","create date:2013/10/17 | first author:Zinzula L",
"Development of real-time RT-PCR for the detection of low concentrations of Rift Valley fever virus.","/pubmed/24120571","Maquart M, Temmam S, Héraud JM, Leparc-Goffart I, Cêtre-Sossah C, Dellagi K, Cardinale E, Pascalis H.","J Virol Methods. 2013 Oct 11. doi:pii: S0166-0934(13)00403-5.  10.1016/j.jviromet.2013.10.001. [Epub ahead of print]","J Virol Methods.  2013","PubMed","citation","PMID:24120571","pubmed","24120571","create date:2013/10/15 | first author:Maquart M",
"Non-structural proteins of arthropod-borne bunyaviruses: roles and functions.","/pubmed/24100888","Eifan S, Schnettler E, Dietrich I, Kohl A, Blomström AL.","Viruses. 2013 Oct 4;5(10):2447-68. doi: 10.3390/v5102447.","Viruses.  2013","PubMed","citation","PMID:24100888","pubmed","24100888","create date:2013/10/09 | first author:Eifan S",
"Generation and application of monoclonal antibodies against Rift Valley fever virus nucleocapsid protein NP and glycoproteins Gn and Gc.","/pubmed/24100475","Jäckel S, Eiden M, Dauber M, Balkema-Buschmann A, Brun A, Groschup MH.","Arch Virol. 2013 Oct 8. [Epub ahead of print]","Arch Virol.  2013","PubMed","citation","PMID:24100475","pubmed","24100475","create date:2013/10/09 | first author:Jäckel S",
"Rift valley Fever in humans and animals in mayotte, an endemic situation?","/pubmed/24098637","Lernout T, Cardinale E, Jego M, Desprès P, Collet L, Zumbo B, Tillard E, Girard S, Filleul L.","PLoS One. 2013 Sep 30;8(9):e74192. doi: 10.1371/journal.pone.0074192.","PLoS One.  2013","PubMed","citation","PMID:24098637 | PMCID:PMC3787064","pubmed","24098637","create date:2013/10/08 | first author:Lernout T",
"Favipiravir (T-705), a novel viral RNA polymerase inhibitor.","/pubmed/24084488","Furuta Y, Gowen BB, Takahashi K, Shiraki K, Smee DF, Barnard DL.","Antiviral Res. 2013 Sep 29;100(2):446-454. doi: 10.1016/j.antiviral.2013.09.015. [Epub ahead of print]","Antiviral Res.  2013","PubMed","citation","PMID:24084488","pubmed","24084488","create date:2013/10/03 | first author:Furuta Y",
"IFITMs Restrict the Replication of Multiple Pathogenic Viruses.","/pubmed/24076421","Perreira JM, Chin CR, Feeley EM, Brass AL.","J Mol Biol. 2013 Sep 25. doi:pii: S0022-2836(13)00608-6.  10.1016/j.jmb.2013.09.024. [Epub ahead of print]","J Mol Biol.  2013","PubMed","citation","PMID:24076421","pubmed","24076421","create date:2013/10/01 | first author:Perreira JM",
"Hospital-based surveillance for viral hemorrhagic fevers and hepatitides in ghana.","/pubmed/24069490","Bonney JH, Osei-Kwasi M, Adiku TK, Barnor JS, Amesiya R, Kubio C, Ahadzie L, Olschläger S, Lelke M, Becker-Ziaja B, Pahlmann M, Günther S.","PLoS Negl Trop Dis. 2013 Sep 19;7(9):e2435. doi: 10.1371/journal.pntd.0002435.","PLoS Negl Trop Dis.  2013","PubMed","citation","PMID:24069490 | PMCID:PMC3777898","pubmed","24069490","create date:2013/09/27 | first author:Bonney JH",
"A Fusion-Inhibiting Peptide against Rift Valley Fever Virus Inhibits Multiple, Diverse Viruses.","/pubmed/24069485","Koehler JW, Smith JM, Ripoll DR, Spik KW, Taylor SL, Badger CV, Grant RJ, Ogg MM, Wallqvist A, Guttieri MC, Garry RF, Schmaljohn CS.","PLoS Negl Trop Dis. 2013 Sep 12;7(9):e2430. doi: 10.1371/journal.pntd.0002430.","PLoS Negl Trop Dis.  2013","PubMed","citation","PMID:24069485 | PMCID:PMC3772029","pubmed","24069485","create date:2013/09/27 | first author:Koehler JW",
"Vaccines against diseases transmitted from animals to humans: A one health paradigm.","/pubmed/24060567","Monath TP.","Vaccine. 2013 Sep 21. doi:pii: S0264-410X(13)01270-X.  10.1016/j.vaccine.2013.09.029. [Epub ahead of print]","Vaccine.  2013","PubMed","citation","PMID:24060567","pubmed","24060567","create date:2013/09/26 | first author:Monath TP",
"Ocular manifestations of emerging infectious diseases.","/pubmed/24030241","Khairallah M, Kahloun R.","Curr Opin Ophthalmol. 2013 Nov;24(6):574-80. doi: 10.1097/ICU.0b013e3283654e09.","Curr Opin Ophthalmol.  2013","PubMed","citation","PMID:24030241","pubmed","24030241","create date:2013/09/14 | first author:Khairallah M",
"Towards a better understanding of Rift Valley fever epidemiology in the south-west of the Indian Ocean.","/pubmed/24016237","Balenghien T, Cardinale E, Chevalier V, Elissa N, Failloux AB, Jean Jose Nipomichene TN, Nicolas G, Rakotoharinome VM, Roger M, Zumbo B.","Vet Res. 2013 Sep 9;44(1):78. [Epub ahead of print]","Vet Res.  2013","PubMed","citation","PMID:24016237","pubmed","24016237","create date:2013/09/11 | first author:Balenghien T",
"Immunogenicity of a recombinant Rift Valley fever MP-12-NSm deletion vaccine candidate in calves.","/pubmed/23994375","Morrill JC, Laughlin RC, Lokugamage N, Wu J, Pugh R, Kanani P, Adams LG, Makino S, Peters CJ.","Vaccine. 2013 Oct 9;31(43):4988-94. doi: 10.1016/j.vaccine.2013.08.003. Epub 2013 Aug 27.","Vaccine.  2013","PubMed","citation","PMID:23994375","pubmed","23994375","create date:2013/09/03 | first author:Morrill JC",
