"pmid","authSet","lang","pubTypeSet","date","journal","keywordSet"
1,"KAYCIE HOPKINS;SARA CHERRY","ENG","EDITORIAL",2013-10-21,"CELL CYCLE1011378411551-4005","BUNYAVIRUS;DCP2;P BODY;RNA DECAY;RNA GRANULE;RNAI SCREEN;RIFT VALLEY FEVER VIRUS;CAP-SNATCHING;CELL CYCLE RNA;DECAPPING"
2,"CLEMENT NYAMUNURA MWEYA;SHARADHULI IDDI KIMERA;JOHN BUKOMBE KIJA;LEONARD E G MBOERA","ENG","JOURNAL ARTICLE",2013-10-14,"SWEDENINFECT ECOL EPIDEMIOL1015797952000-8686","AEDES AEGYPTI;CULEX PIPIENS;EAST AFRICA;MAXENT;RIFT VALLEY FEVER;PREDICTING DISTRIBUTION"
3,"LUCA ZINZULA;ENZO TRAMONTANO","ENG","JOURNAL ARTICLE",2013-10-12,"ANTIVIRAL RES81096990166-3542","INNATE IMMUNE SYSTEM EVASION;INTERFERON ALPHA/BETA;LGP2-MEDIATED ANTIVIRAL RESPONSE;MDA5;RIG-I;RIG-I-LIKE RECEPTORS;VIRAL DSRNA DETECTION"
4,"MARIANNE MAQUART;SARAH TEMMAM;JEAN-MICHEL HÉRAUD;ISABELLE LEPARC-GOFFART;CATHERINE CÊTRE-SOSSAH;KOUSSAY DELLAGI;ERIC CARDINALE;HERVÉ PASCALIS","ENG","JOURNAL ARTICLE",2013-10-11,"J VIROL METHODS80058390166-0934","DIAGNOSTIC TOOL;INTER-EPIDEMIC PERIOD;RIFT VALLEY FEVER VIRUS;SEMI-NESTED RT-PCR"
5,"SALEH EIFAN;ESTHER SCHNETTLER;ISABELLE DIETRICH;ALAIN KOHL;ANNE-LIE BLOMSTRÖM","ENG","JOURNAL ARTICLE",2013-10-04,"SWITZERLANDVIRUSES1015097221999-4915",""
6,"SUSANNE JÄCKEL;MARTIN EIDEN;MALTE DAUBER;ANNE BALKEMA-BUSCHMANN;ALEJANDRO BRUN;MARTIN H GROSCHUP","ENG","JOURNAL ARTICLE",2013-10-08,"ARCH VIROL75068700304-8608",""
7,"TINNE LERNOUT;ERIC CARDINALE;MAËL JEGO;PHILIPPE DESPRÈS;LOUIS COLLET;BETTY ZUMBO;EMMANUEL TILLARD;SÉBASTIEN GIRARD;LAURENT FILLEUL","ENG","JOURNAL ARTICLE",2013-09-30,"UNITED STATESPLOS ONE1012850811932-6203",""
8,"YOUSUKE FURUTA;BRIAN B GOWEN;KAZUMI TAKAHASHI;KIMIYASU SHIRAKI;DONALD F SMEE;DALE L BARNARD","ENG","JOURNAL ARTICLE",2013-09-29,"ANTIVIRAL RES81096990166-3542","FAVIPIRAVIR;INFLUENZA;RNA VIRUSES;RNA-DEPENDENT RNA POLYMERASE;T-705"
9,"JILL M PERREIRA;CHRISTOPHER R CHIN;ERIC M FEELEY;ABRAHAM L BRASS","ENG","JOURNAL ARTICLE",2013-09-25,"J MOL BIOL2985088R0022-2836","AS;CCHFV;CD225 FAMILY;CIL;CMEM;CRIMEAN CONGO HEMORRHAGIC FEVER VIRUS;DENV;EBOV;EBOLA VIRUS;GP;HCV;HIV-1;IAV;IFITM;IFN;JSRV;JAAGSIEKTE SHEEP RETROVIRUS;MARV;MLV;MS;MARBURG VIRUS;MOLONEY LEUKEMIA VIRUS;N-TERMINAL DOMAIN;NTD;OSBP;RVFV;RIFT VALLEY FEVER VIRUS;SARS COV;SEV;SENDAI VIRUS;VAPA;ALANINE SCANNING;CLATHRIN-MEDIATED ENDOCYTOSIS MOTIF;CONSERVED INTRACELLULAR LOOP;DENGUE VIRUS;GLYCOPROTEIN;HEPATITIS C VIRUS;HOST VIRUS INTERACTIONS;HUMAN IMMUNODEFICIENCY VIRUS TYPE 1;INFLUENZA A VIRUS;INTERFERON;INTERFERON EFFECTOR GENES;INTERFERON-INDUCIBLE TRANSMEMBRANE PROTEIN;MASS SPECTROMETRY;OXYSTEROL BINDING PROTEIN;RESTRICTION FACTOR;SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS;VESICLE-ASSOCIATED MEMBRANE PROTEIN-A"
10,"JOSEPH HUMPHREY KOFI BONNEY;MUBARAK OSEI-KWASI;THEOPHILUS KORKU ADIKU;JACOB SAMSON BARNOR;ROBERT AMESIYA;CHRYSANTUS KUBIO;LAWSON AHADZIE;STEPHAN OLSCHLÄGER;MICHAELA LELKE;BEATE BECKER-ZIAJA;MEIKE PAHLMANN;STEPHAN GÜNTHER","ENG","JOURNAL ARTICLE",2013-09-19,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
