"title","abstract"
"Cell cycle (Georgetown, Tex.)",NA
"Infection ecology & epidemiology","The East African region has experienced several Rift Valley fever (RVF) outbreaks since the 1930s. The objective of this study was to identify distributions of potential disease vectors in relation to disease epidemics. Understanding disease vector potential distributions is a major concern for disease transmission dynamics.DIVERSE ECOLOGICAL NICHE MODELLING TECHNIQUES HAVE BEEN DEVELOPED FOR THIS PURPOSE: we present a maximum entropy (Maxent) approach for estimating distributions of potential RVF vectors in un-sampled areas in East Africa. We modelled the distribution of two species of mosquitoes (Aedes aegypti and Culex pipiens complex) responsible for potential maintenance and amplification of the virus, respectively. Predicted distributions of environmentally suitable areas in East Africa were based on the presence-only occurrence data derived from our entomological study in Ngorongoro District in northern Tanzania.Our model predicted potential suitable areas with high success rates of 90.9% for A. aegypti and 91.6% for C. pipiens complex. Model performance was statistically significantly better than random for both species. Most suitable sites for the two vectors were predicted in central and northwestern Tanzania with previous disease epidemics. Other important risk areas include western Lake Victoria, northern parts of Lake Malawi, and the Rift Valley region of Kenya.Findings from this study show distributions of vectors had biological and epidemiological significance in relation to disease outbreak hotspots, and hence provide guidance for the selection of sampling areas for RVF vectors during inter-epidemic periods."
"Antiviral research","Double-stranded RNA (dsRNA) is synthesized during the course of infection by RNA viruses as a byproduct of replication and transcription and acts as a potent trigger of the host innate antiviral response. In the cytoplasm of the infected cell, recognition of the presence of viral dsRNA as a signature of ""non-self"" nucleic acid is carried out by RIG-I-like receptors (RLRs), a set of dedicated helicases whose activation leads to the production of type I interferon α/β (IFN-α/β). To overcome the innate antiviral response, RNA viruses encode suppressors of IFN-α/β induction, which block RLR recognition of dsRNA by means of different mechanisms that can be categorized into: (i) dsRNA binding and/or shielding (""hide""), (ii) dsRNA termini processing (""mask"") and (iii) direct interaction with components of the RLRs pathway (""hit""). In light of recent functional, biochemical and structural findings, we review the inhibition mechanisms of RLR recognition of dsRNA displayed by a number of highly pathogenic RNA viruses with different disease phenotypes such as haemorrhagic fever (Ebola, Marburg, Lassa, Lujo, Machupo, Junin, Guanarito, Crimean-Congo, Rift Valley fever, dengue), severe respiratory disease (influenza, SARS, Hendra, Hantaan, Sin Nombre, Andes) and encephalitis (Nipah, West Nile).Copyright © 2013. Published by Elsevier B.V."
"Journal of virological methods","In recent years, Madagascar and the Comoros archipelago have been affected by epidemics of Rift Valley fever (RVF), however detection of Rift Valley fever virus (RVFV) in zebu, sheep and goats during the post epidemic periods was frequently unsuccessful. Thus, a highly sensitive real-time RT-PCR assay was developed for the detection of RVFV at low viral loads. A new RVF SYBR Green RT-PCR targeting the M segment was tested on serum from different RVF seronegative ruminant species collected from May 2010 to August 2011 in Madagascar and the Comoros archipelago and compared with a RVF specific quantitative real time RT-PCR technique, which is considered as the reference technique. The specificity was tested on a wide range of arboviruses or other viruses giving RVF similar clinical signs. A total of 38 out of 2756 serum samples tested positive with the new RT-PCR, whereas the reference technique only detected 5 out of the 2756. The described RT-PCR is an efficient diagnostic tool for the investigation of enzootic circulation of the RVF virus. It allows the detection of low viral RNA loads adapted for the investigations of reservoirs or specific epidemiological situations such as inter-epizootic periods.Copyright © 2013. Published by Elsevier B.V."
"Viruses","Viruses within the Bunyaviridae family are tri-segmented, negative-stranded RNA viruses. The family includes several emerging and re-emerging viruses of humans, animals and plants, such as Rift Valley fever virus, Crimean-Congo hemorrhagic fever virus, La Crosse virus, Schmallenberg virus and tomato spotted wilt virus. Many bunyaviruses are arthropod-borne, so-called arboviruses. Depending on the genus, bunyaviruses encode, in addition to the RNA-dependent RNA polymerase and the different structural proteins, one or several non-structural proteins. These non-structural proteins are not always essential for virus growth and replication but can play an important role in viral pathogenesis through their interaction with the host innate immune system. In this review, we will summarize current knowledge and understanding of insect-borne bunyavirus non-structural protein function(s) in vertebrate, plant and arthropod."
"Archives of virology","Rift Valley fever virus (RVFV) is a vector-borne virus that causes high neonatal mortality in livestock and deadly haemorrhagic fever in humans. In this paper, we describe the generation of monoclonal antibodies (mabs) against all three structural proteins of RVFV (glycoproteins Gn and Gc and nucleocapsid protein NP). After immunization of BALB/c mice with individual recombinant proteins, a total of 45 clones secreting ELISA-reactive monoclonal antibodies against NP, Gn and Gc epitopes were obtained. Twelve clones were directed to NP, 28 to Gn, and 5 to Gc. Western blot analysis revealed that most of the mabs were reactive to linearized epitopes on recombinant as well as native virus proteins. Six mabs against NP, 21 against Gn and all mabs against Gc also detected conformational epitopes, as shown by indirect immunofluorescence on RVFV-infected cells. All of the mabs were evaluated for their use in a competition enzyme-linked immunosorbent assay (ELISA) for the detection of a RVFV infection. Several mabs were identified that competed with polyclonal rabbit serum, and one of them - mab Gn123, raised against Gn protein - was selected for a proof-of-principle study with field sera from a recent Rift Valley fever outbreak. The novel Gn-based competition ELISA demonstrated high performance, offering a promising alternative and addition to serological assays based on nucleocapsid protein."
"PloS one","Retrospective studies and surveillance on humans and animals revealed that Rift Valley Fever virus (RVFV) has been circulating on Mayotte for at least several years. A study was conducted in 2011 to estimate the seroprevalence of RVF in humans and in animals and to identify associated risk factors. Using a multistage cluster sampling method, 1420 individuals were enrolled in the human study, including 337 children aged 5 to 14 years. For the animal study, 198 seronegative ruminants from 33 randomly selected sentinel ruminant herds were followed up for more than one year. In both studies, information on environment and risk factors was collected through a standardized questionnaire. The overall weighted seroprevalence of RVFV antibodies in the general population aged ≥5 years was 3.5% (95% CI 2.6-4.8). The overall seroprevalence of RVFV antibodies in the ruminant population was 25.3% (95% CI 19.8-32.2). Age (≥15), gender (men), place of birth on the Comoros, living in Mayotte since less than 5 years, low educational level, farming and living close to a water source were significantly associated with RVFV seropositivity in humans. Major risk factors for RFV infection in animals were the proximity of the farm to a water point, previous two-month rainfall and absence of abortions disposal. Although resulting in few clinical cases in humans and in animals, RVFV has been circulating actively on the island of Mayotte, in a context of regular import of the virus from nearby countries through illegal animal movements, the presence of susceptible animals and a favorable environment for mosquito vectors to maintain virus transmission locally. Humans and animals share the same ways of RVFV transmission, with mosquitoes playing an important role. The studies emphasize the need for a one health approach in which humans and animals within their ecosystems are included."
"Antiviral research","Favipiravir (T-705; 6-fluoro-3-hydroxy-2-pyrazinecarboxamide) is an antiviral drug that selectively inhibits the RNA-dependent RNA polymerase of influenza virus. It is phosphoribosylated by cellular enzymes to its active form, favipiravir-ribofuranosyl-5'-triphosphate (RTP). Its antiviral effect is attenuated by the addition of purine nucleic acids, indicating the viral RNA polymerase mistakenly recognizes favipiravir-RTP as a purine nucleotide. Favipiravir is active against a broad range of influenza viruses, including A(H1N1)pdm09, A(H5N1) and the recently emerged A(H7N9) avian virus. It also inhibits influenza strains resistant to current antiviral drugs, and shows a synergistic effect in combination with oseltamivir, thereby expanding influenza treatment options. A Phase III clinical evaluation of favipiravir for influenza therapy has been completed in Japan and two Phase II studies have been completed in the United States. In addition to its anti-influenza activity, favipiravir blocks the replication of many other RNA viruses, including arenaviruses (Junin, Machupo and Pichinde); phleboviruses (Rift Valley fever, sandfly fever and Punta Toro); hantaviruses (Maporal, Dobrava, and Prospect Hill); flaviviruses (yellow fever and West Nile); enteroviruses (polio- and rhinoviruses); an alphavirus, Western equine encephalitis virus; a paramyxovirus, respiratory syncytial virus; and noroviruses. With its unique mechanism of action and broad range of antiviral activity, favipiravir is a promising drug candidate for influenza and many other RNA viral diseases for which there are no approved therapies.Copyright © 2013 Elsevier B.V. All rights reserved."
"Journal of molecular biology","The interferon-inducible transmembrane protein (IFITM) family inhibits a growing number of pathogenic viruses, among them influenza A virus, dengue virus, hepatitis C virus, and Ebola virus. This review covers recent developments in our understanding of the IFITM's molecular determinants, potential mechanisms of action, and impact on pathogenesis.© 2013."
"PLoS neglected tropical diseases","Viral hemorrhagic fevers (VHF) are acute diseases associated with bleeding, organ failure, and shock. VHF may hardly be distinguished clinically from other diseases in the African hospital, including viral hepatitis. This study was conducted to determine if VHF and viral hepatitis contribute to hospital morbidity in the Central and Northern parts of Ghana.From 2009 to 2011, blood samples of 258 patients with VHF symptoms were collected at 18 hospitals in Ashanti, Brong-Ahafo, Northern, Upper West, and Upper East regions. Patients were tested by PCR for Lassa, Rift Valley, Crimean-Congo, Ebola/Marburg, and yellow fever viruses; hepatitis A (HAV), B (HBV), C (HCV), and E (HEV) viruses; and by ELISA for serological hepatitis markers. None of the patients tested positive for VHF. However, 21 (8.1%) showed anti-HBc IgM plus HBV DNA and/or HBsAg; 37 (14%) showed HBsAg and HBV DNA without anti-HBc IgM; 26 (10%) showed anti-HAV IgM and/or HAV RNA; and 20 (7.8%) were HCV RNA-positive. None was positive for HEV RNA or anti-HEV IgM plus IgG. Viral genotypes were determined as HAV-IB, HBV-A and E, and HCV-1, 2, and 4.VHFs do not cause significant hospital morbidity in the study area. However, the incidence of acute hepatitis A and B, and hepatitis B and C with active virus replication is high. These infections may mimic VHF and need to be considered if VHF is suspected. The data may help decision makers to allocate resources and focus surveillance systems on the diseases of relevance in Ghana."
"PLoS neglected tropical diseases","For enveloped viruses, fusion of the viral envelope with a cellular membrane is critical for a productive infection to occur. This fusion process is mediated by at least three classes of fusion proteins (Class I, II, and III) based on the protein sequence and structure. For Rift Valley fever virus (RVFV), the glycoprotein Gc (Class II fusion protein) mediates this fusion event following entry into the endocytic pathway, allowing the viral genome access to the cell cytoplasm. Here, we show that peptides analogous to the RVFV Gc stem region inhibited RVFV infectivity in cell culture by inhibiting the fusion process. Further, we show that infectivity can be inhibited for diverse, unrelated RNA viruses that have Class I (Ebola virus), Class II (Andes virus), or Class III (vesicular stomatitis virus) fusion proteins using this single peptide. Our findings are consistent with an inhibition mechanism similar to that proposed for stem peptide fusion inhibitors of dengue virus in which the RVFV inhibitory peptide first binds to both the virion and cell membranes, allowing it to traffic with the virus into the endocytic pathway. Upon acidification and rearrangement of Gc, the peptide is then able to specifically bind to Gc and prevent fusion of the viral and endocytic membranes, thus inhibiting viral infection. These results could provide novel insights into conserved features among the three classes of viral fusion proteins and offer direction for the future development of broadly active fusion inhibitors."
"Vaccine","This review focuses on the immunization of animals as a means of preventing human diseases (zoonoses). Three frameworks for the use of vaccines in this context are described, and examples are provided of successes and failures. Framework I vaccines are used for protection of humans and economically valuable animals, where neither plays a role in the transmission cycle. The benefit of collaborations between animal health and human health industries and regulators in developing such products is discussed, and one example (West Nile vaccine) of a single product developed for use in animals and humans is described. Framework II vaccines are indicated for domesticated animals as a means of preventing disease in both animals and humans. The agents of concern are transmitted directly or indirectly (e.g. via arthropod vectors) from animals to humans. A number of examples of the use of Framework II vaccines are provided, e.g. against brucellosis, Escherischia coli O157, rabies, Rift Valley fever, Venezuelan equine encephalitis, and Hendra virus. Framework III vaccines are used to immunize wild animals as a means of preventing transmission of disease agents to humans and domesticated animals. Examples are reservoir-targeted, oral bait rabies, Mycobacterium bovis and Lyme disease vaccines. Given the speed and lost cost of veterinary vaccine development, some interventions based on the immunization of animals could lead to rapid and relatively inexpensive advances in public health. Opportunities for vaccine-based approaches to preventing zoonotic and emerging diseases that integrate veterinary and human medicine (the One Health paradigm) are emphasized.Copyright © 2013 Elsevier Ltd. All rights reserved."
"Current opinion in ophthalmology","Emergent and resurgent infectious diseases are major causes of systemic morbidity and death that are expanding worldwide mainly because of climate changes and globalization. Among them, specific diseases have been recently associated with ocular involvement. This review presents the ocular manifestations of selected emerging infectious diseases relevant to the ophthalmologist.An array of ocular manifestations, involving mainly the posterior segment, have been recently described in association with specific arthropod vector-borne diseases including rickettsioses, West Nile virus, Rift Valley fever, Dengue fever, and Chikungunya. Influenza A (H1N1) virus has also been recently associated with ocular involvement. On the contrary, with advances in laboratory testing applied to ocular fluids, new infectious agents, mainly viruses, are increasingly being found to be associated with uveitis.Emerging infectious diseases should be considered in the differential diagnosis of retinitis, chorioretinitis, retinal vasculitis, optic neuropathy, or any other ocular inflammatory condition in a patient living in or traveling back from a specific endemic area. On the contrary, ocular fluid sampling and analysis for specific new pathogens can be recommended in selected patients with uveitis of unexplained cause."
